year,movie title,rating,genre,star,director,writer,country,company,score,votes,budget,gross,gross us,gross overseas,runtime,released,more success overseas
2004,Saint Ralph,PG-13,Comedy,Adam Butcher,Michael McGowan,Michael McGowan,Canada,Alliance Atlantis Communications,7.6,5291,0,,795126,,98,5/25/2007,UNK
2002,Slackers,R,Comedy,Devon Sawa,Dewey Nicks,David H. Steinberg,Canada,Alliance Atlantis Communications,5.3,12825,11000000,,4814244,,86,2/1/2002,UNK
1999,Sunshine,R,Drama,Ralph Fiennes,István Szabó,István Szabó,Germany,Alliance Atlantis Communications,7.5,11708,0,,5095981,,181,7/14/2000,UNK
2000,The Claim,R,Drama,Wes Bentley,Michael Winterbottom,Thomas Hardy,UK,Alliance Atlantis Communications,6.5,5448,0,,669258,,120,2/2/2001,UNK
1998,All I Wanna Do,PG-13,Comedy,Kirsten Dunst,Sarah Kernochan,Sarah Kernochan,Italy,Alliance Communications Corporation,6.7,5895,0,,968506,,97,9/4/1998,UNK
1991,Black Robe,R,Adventure,Lothaire Bluteau,Bruce Beresford,Brian Moore,Canada,Alliance Communications Corporation,7.1,5638,0,,8211952,,101,10/4/1991,UNK
1996,Crash: Extraños placeres,NC-17,Drama,James Spader,David Cronenberg,J.G. Ballard,Canada,Alliance Communications Corporation,6.4,44693,9000000,,2038450,,100,3/21/1997,UNK
1995,Delta of Venus,R,Drama,Audie England,Zalman King,Anaïs Nin,USA,Alliance Communications Corporation,4.5,1596,0,,62949,,99,10/13/1995,UNK
1997,Dulce porvenir,R,Drama,Ian Holm,Atom Egoyan,Russell Banks,Canada,Alliance Communications Corporation,7.7,28237,0,,3252652,,112,11/21/1997,UNK
1989,Eddie and the Cruisers II: Eddie Lives!,PG-13,Drama,Michael Paré,Jean-Claude Lord,P.F. Kluge,Canada,Alliance Communications Corporation,6.2,2273,0,,536508,,99,8/18/1989,UNK
1992,In the Soup,R,Comedy,Steve Buscemi,Alexandre Rockwell,Sollace Mitchell,USA,Alliance Communications Corporation,7.1,2047,0,,256249,,93,8/13/1992,UNK
1986,On the Edge,PG-13,Drama,Bruce Dern,Rob Nilsson,Roy Kissin,USA,Alliance Communications Corporation,7.1,171,0,,440438,,95,5/2/1986,UNK
1995,When Night Is Falling,R,Drama,Pascale Bussières,Patricia Rozema,Patricia Rozema,Canada,Alliance Communications Corporation,6.7,5706,0,,1194152,,94,11/17/1995,UNK
1994,Exótica,R,Drama,Bruce Greenwood,Atom Egoyan,Atom Egoyan,Canada,Alliance Entertainment,7.2,15366,0,,4183379,,103,3/24/1995,UNK
1991,The Adjuster,R,Comedy,Elias Koteas,Atom Egoyan,Atom Egoyan,Canada,Alliance Entertainment,6.7,2727,0,,396573,,102,7/1/1992,UNK
2013,Dark Skies,PG-13,Horror,Keri Russell,Scott Stewart,Scott Stewart,USA,Alliance Films,6.3,61914,3500000,,17411930,,97,2/22/2013,UNK
2010,Insidious,PG-13,Horror,Patrick Wilson,James Wan,Leigh Whannell,USA,Alliance Films,6.8,226632,1500000,,54009150,,103,4/1/2011,UNK
2012,Sinister,R,Horror,Ethan Hawke,Scott Derrickson,Scott Derrickson,USA,Alliance Films,6.8,177787,3000000,,48086903,,110,10/12/2012,UNK
2014,The Woman in Black 2: Angel of Death,PG-13,Drama,Helen McCrory,Tom Harper,Jon Croker,UK,Alliance Films,4.9,22255,15000000,,26496583,,98,1/2/2015,UNK
1992,Léolo,NOT RATED,Comedy,Maxime Collin,Jean-Claude Lauzon,Jean-Claude Lauzon,Canada,Alliance Films Corporation,7.6,5950,0,,610488,,107,4/2/1993,UNK
1992,A River Runs Through It,PG,Drama,Craig Sheffer,Robert Redford,Norman Maclean,USA,Allied Filmmakers,7.3,44727,0,,43440294,,123,10/30/1992,UNK
1992,City of Joy,PG-13,Drama,Patrick Swayze,Roland Joffé,Dominique Lapierre,France,Allied Filmmakers,6.4,4193,27000000,,14683921,,132,4/17/1992,UNK
