year,movie title,rating,genre,star,director,writer,country,company,score,votes,budget,gross,gross us,gross overseas,runtime,released,more success overseas
2002,The Wild Thornberrys Movie,PG,Animation,Tim Curry,Cathy Malkasian,Arlene Klasky,USA,Paramount Pictures,5.3,12741,25000000,,40108697,,85,12/20/2002,UNK
1996,Thinner,R,Fantasy,Joe Mantegna,Tom Holland,Stephen King,USA,Paramount Pictures,5.7,22170,8500000,,15171475,,93,10/25/1996,UNK
2003,Timeline,PG-13,Action,Paul Walker,Richard Donner,Michael Crichton,USA,Paramount Pictures,5.6,55054,80000000,,19481943,,116,11/26/2003,UNK
1991,True Colors,R,Drama,John Cusack,Herbert Ross,Kevin Wade,USA,Paramount Pictures,6.3,4205,0,,418807,,111,3/15/1991,UNK
2004,Twisted,R,Crime,Ashley Judd,Philip Kaufman,Sarah Thorp,Germany,Paramount Pictures,5.2,18006,50000000,,25195050,,97,2/27/2004,UNK
2009,Up in the Air,R,Drama,George Clooney,Jason Reitman,Walter Kirn,USA,Paramount Pictures,7.4,283498,25000000,,83823381,,109,12/23/2009,UNK
1995,Virtuosity,R,Action,Denzel Washington,Brett Leonard,Eric Bernt,USA,Paramount Pictures,5.6,24720,30000000,,24048000,,106,8/4/1995,UNK
1992,Wayne's World,PG-13,Comedy,Mike Myers,Penelope Spheeris,Mike Myers,USA,Paramount Pictures,7,122552,20000000,,121697350,,94,2/14/1992,UNK
1993,Wayne's World 2,PG-13,Comedy,Mike Myers,Stephen Surjik,Mike Myers,USA,Paramount Pictures,6.1,66535,40000000,,48197805,,95,12/10/1993,UNK
1989,We're No Angels,PG-13,Comedy,Robert De Niro,Neil Jordan,David Mamet,USA,Paramount Pictures,6,18558,20000000,,10555348,,106,12/15/1989,UNK
1993,What's Eating Gilbert Grape,PG-13,Drama,Johnny Depp,Lasse Hallström,Peter Hedges,USA,Paramount Pictures,7.8,183569,11000000,,9170214,,118,3/4/1994,UNK
1992,Whispers in the Dark,R,Drama,Annabella Sciorra,Christopher Crowe,Christopher Crowe,USA,Paramount Pictures,5.6,1674,18000000,,11124511,,103,8/7/1992,UNK
2004,Without a Paddle,PG-13,Adventure,Matthew Lillard,Steven Brill,Fred Wolf,USA,Paramount Pictures,5.9,39199,19000000,,58169327,,95,8/20/2004,UNK
2006,World Trade Center,PG-13,Drama,Nicolas Cage,Oliver Stone,Andrea Berloff,USA,Paramount Pictures,6,70654,63000000,,70278893,,129,8/9/2006,UNK
2011,Young Adult,R,Comedy,Charlize Theron,Jason Reitman,Diablo Cody,USA,Paramount Pictures,6.3,68120,12000000,,16311571,,94,12/16/2011,UNK
2005,"Yours, Mine & Ours",PG,Comedy,Dennis Quaid,Raja Gosnell,Ron Burch,USA,Paramount Pictures,5.4,23229,45000000,,53412862,,88,11/23/2005,UNK
2007,Zodiac,R,Crime,Jake Gyllenhaal,David Fincher,James Vanderbilt,USA,Paramount Pictures,7.7,343160,65000000,,33080084,,157,3/2/2007,UNK
2001,Zoolander,PG-13,Comedy,Ben Stiller,Ben Stiller,Drake Sather,Germany,Paramount Pictures,6.6,215281,28000000,,45172250,,90,9/28/2001,UNK
2007,A Mighty Heart,R,Biography,Angelina Jolie,Michael Winterbottom,John Orloff,USA,Paramount Vantage,6.7,24917,16000000,,9176787,,108,6/22/2007,UNK
2009,Carriers,PG-13,Drama,Chris Pine,David Pastor,Àlex Pastor,USA,Paramount Vantage,6,37265,0,,90820,,100,9/16/2009,UNK
2009,Case 39,R,Horror,Renée Zellweger,Christian Alvart,Ray Wright,USA,Paramount Vantage,6.2,65254,26000000,,13248477,,109,10/1/2010,UNK
2008,Defiance,R,Action,Daniel Craig,Edward Zwick,Clayton Frohman,USA,Paramount Vantage,7.2,123415,32000000,,28644813,,137,1/16/2009,UNK
2007,Into the Wild,R,Adventure,Emile Hirsch,Sean Penn,Sean Penn,USA,Paramount Vantage,8.1,471946,15000000,,18352454,,148,10/19/2007,UNK
2011,Like Crazy,PG-13,Drama,Felicity Jones,Drake Doremus,Drake Doremus,USA,Paramount Vantage,6.7,51491,250000,,3413908,,86,1/27/2012,UNK
2013,Nebraska,R,Adventure,Bruce Dern,Alexander Payne,Bob Nelson,USA,Paramount Vantage,7.7,97893,12000000,,17654912,,115,1/24/2014,UNK
2007,No Country for Old Men,R,Crime,Tommy Lee Jones,Ethan Coen,Joel Coen,USA,Paramount Vantage,8.1,679346,25000000,,74283625,,122,11/21/2007,UNK
2008,The Duchess,PG-13,Biography,Keira Knightley,Saul Dibb,Jeffrey Hatcher,UK,Paramount Vantage,6.9,66399,0,,13823741,,110,10/10/2008,UNK
2009,"The Goods: Live Hard, Sell Hard",R,Comedy,Jeremy Piven,Neal Brennan,Andy Stock,USA,Paramount Vantage,5.8,18361,0,,15102127,,89,8/14/2009,UNK
2007,There Will Be Blood,R,Drama,Daniel Day-Lewis,Paul Thomas Anderson,Paul Thomas Anderson,USA,Paramount Vantage,8.1,412459,25000000,,40222514,,158,1/25/2008,UNK
2015,The Blackcoat's Daughter,R,Horror,Emma Roberts,Oz Perkins,Oz Perkins,Canada,Paris Film,5.8,6768,0,,19980,,93,2/16/2017,UNK
2014,God's Pocket,R,Crime,Philip Seymour Hoffman,John Slattery,Peter Dexter,USA,Park Pictures,6.1,9072,1000000,,104401,,88,8/8/2014,UNK
1990,Soultaker,R,Fantasy,Joe Estevez,Michael Rissi,Vivian Schilling,USA,Park-Schilling Productions Inc.,2.3,3359,242000,,233150,,94,10/26/1990,UNK
1993,Calendar Girl,PG-13,Drama,Jason Priestley,John Whitesell,Paul W. Shapiro,USA,Parkway Productions,5,1901,13000000,,2570145,,90,9/3/1993,UNK
2012,No,R,Drama,Gael García Bernal,Pablo Larraín,Pedro Peirano,Chile,Participant Media,7.4,19935,0,,2343664,,118,11/9/2012,UNK
2015,Our Brand Is Crisis,R,Comedy,Sandra Bullock,David Gordon Green,Peter Straughan,USA,Participant Media,6.1,16204,28000000,,6998324,,107,10/30/2015,UNK
2015,Spotlight,R,Crime,Mark Ruffalo,Tom McCarthy,Josh Singer,USA,Participant Media,8.1,287421,20000000,,45055776,,128,11/20/2015,UNK
2006,The Science of Sleep,R,Comedy,Gael García Bernal,Michel Gondry,Michel Gondry,France,Partizan Films,7.3,63643,6000000,,4663809,,105,9/29/2006,UNK
2016,American Honey,R,Adventure,Sasha Lane,Andrea Arnold,Andrea Arnold,UK,Parts and Labor,7,23250,0,,662786,,163,11/25/2016,UNK
2016,Complete Unknown,R,Drama,Erin Darke,Joshua Marston,Joshua Marston,USA,Parts and Labor,5.4,3864,0,,166827,,91,8/26/2016,UNK
2015,The Witch,R,Horror,Anya Taylor-Joy,Robert Eggers,Robert Eggers,USA,Parts and Labor,6.8,111384,3500000,,25138292,,92,2/19/2016,UNK
1995,Party Girl,R,Comedy,Parker Posey,Daisy von Scherler Mayer,Harry Birckmayer,USA,Party Productions,6.6,3784,150000,,472370,,94,6/9/1995,UNK
2010,127 Hours,R,Adventure,James Franco,Danny Boyle,Danny Boyle,USA,Pathé,7.6,299503,18000000,,18335230,,94,1/28/2011,UNK
2016,A United Kingdom,PG-13,Biography,David Oyelowo,Amma Asante,Guy Hibbert,Czech Republic,Pathé,6.8,7236,14000000,,3901302,,111,2/10/2017,UNK
2014,Selma,PG-13,Biography,David Oyelowo,Ava DuVernay,Paul Webb,UK,Pathé,7.5,69760,20000000,,52076908,,128,1/9/2015,UNK
2011,The Iron Lady,PG-13,Biography,Meryl Streep,Phyllida Lloyd,Abi Morgan,UK,Pathé,6.4,88841,13000000,,30017992,,105,1/13/2012,UNK
2013,Trance,R,Crime,James McAvoy,Danny Boyle,Joe Ahearne,UK,Pathé,7,99164,20000000,,2319187,,101,5/3/2013,UNK
2004,Two Brothers,PG,Adventure,Guy Pearce,Jean-Jacques Annaud,Alain Godard,France,Pathé,7.1,12650,0,,18947630,,109,6/25/2004,UNK
1991,Company Business,PG-13,Action,Gene Hackman,Nicholas Meyer,Nicholas Meyer,USA,Pathé Entertainment,5.7,1996,18000000,,1501785,,98,9/6/1991,UNK
1991,Not Without My Daughter,PG-13,Drama,Sally Field,Brian Gilbert,Betty Mahmoody,USA,Pathé Entertainment,6.2,10368,0,,14789113,,116,1/11/1991,UNK
1990,Quigley Down Under,PG-13,Action,Tom Selleck,Simon Wincer,John Hill,Australia,Pathé Entertainment,6.8,16185,20000000,,21413105,,119,10/19/1990,UNK
1990,The Russia House,R,Drama,Sean Connery,Fred Schepisi,John le Carré,USA,Pathé Entertainment,6.1,12274,0,,22998000,,123,12/21/1990,UNK
1991,Thelma & Louise,R,Adventure,Susan Sarandon,Ridley Scott,Callie Khouri,USA,Pathé Entertainment,7.4,109801,16500000,,45361000,,130,5/24/1991,UNK
2013,Enemigos idénticos,R,Mystery,Jake Gyllenhaal,Denis Villeneuve,José Saramago,Canada,Pathé International,6.9,117920,0,,1007088,,91,2/6/2014,UNK
2005,Mrs Henderson Presents,R,Comedy,Judi Dench,Stephen Frears,David Rose,UK,Pathé Pictures,7.1,14000,20000000,,11034436,,103,2/17/2006,UNK
2005,Breakfast on Pluto,R,Comedy,Cillian Murphy,Neil Jordan,Neil Jordan,Ireland,Pathé Pictures International,7.3,18406,0,,828699,,128,1/6/2006,UNK
2004,Bride & Prejudice,PG-13,Comedy,Martin Henderson,Gurinder Chadha,Jane Austen,UK,Pathé Pictures International,6.2,18188,7000000,,6601079,,111,3/11/2005,UNK
2010,Centurion,R,Action,Michael Fassbender,Neil Marshall,Neil Marshall,UK,Pathé Pictures International,6.4,69188,12000000,,122288,,97,7/30/2010,UNK
2004,Dear Frankie,PG-13,Drama,Emily Mortimer,Shona Auerbach,Andrea Gibb,UK,Pathé Pictures International,7.8,19530,0,,1340891,,105,4/15/2005,UNK
2004,Enduring Love,R,Drama,Rhys Ifans,Roger Michell,Ian McEwan,UK,Pathé Pictures International,6.4,9152,0,,358262,,100,11/26/2004,UNK
2000,Love's Labour's Lost,PG,Romance,Alessandro Nivola,Kenneth Branagh,William Shakespeare,UK,Pathé Pictures International,6.1,3984,13000000,,284291,,93,3/31/2000,UNK
2004,Millions,PG-13,Comedy,Alex Etel,Danny Boyle,Frank Cottrell Boyce,UK,Pathé Pictures International,6.9,22743,0,,6583149,,98,4/29/2005,UNK
1999,Ratcatcher,NOT RATED,Drama,Tommy Flanagan,Lynne Ramsay,Lynne Ramsay,UK,Pathé Pictures International,7.5,6648,30000,,216781,,94,11/12/1999,UNK
2006,The Queen,PG-13,Biography,Helen Mirren,Stephen Frears,Peter Morgan,UK,Pathé Pictures International,7.3,91427,0,,56441711,,103,11/17/2006,UNK
2003,In the Cut,R,Mystery,Meg Ryan,Jane Campion,Jane Campion,UK,Pathe Productions,5.3,19446,12000000,,4750602,,119,10/31/2003,UNK
2009,Bright Star,PG,Biography,Abbie Cornish,Jane Campion,Jane Campion,UK,Pathé Renn Productions,7,22535,8500000,,4444637,,119,10/9/2009,UNK
2007,The Diving Bell and the Butterfly,PG-13,Biography,Mathieu Amalric,Julian Schnabel,Ronald Harwood,France,Pathé Renn Productions,8,94015,0,,5990075,,112,2/1/2008,UNK
2008,Welcome to the Sticks,NOT RATED,Comedy,Kad Merad,Dany Boon,Dany Boon,France,Pathé Renn Productions,7.1,33194,0,,1477650,,106,2/27/2008,UNK
1989,Romero,PG-13,Biography,Raul Julia,John Duigan,John Sacret Young,USA,Paulist Pictures,7.3,1789,0,,1316495,,102,8/25/1989,UNK
2001,Secret Ballot,G,Comedy,Nassim Abdi,Babak Payami,Mohsen Makhmalbaf,Iran,Payam Films,6.7,1107,0,,114183,,100,10/26/2001,UNK
2007,El asesino de John Lennon,R,Biography,Chuck Cooper,J.P. Schaefer,J.P. Schaefer,Canada,Peace Arch Entertainment Group,5.7,9163,0,,55704,,84,8/1/2008,UNK
1991,Lovers: A True Story,R,Crime,Victoria Abril,Vicente Aranda,Álvaro del Amo,Spain,Pedro Costa Producciones Cinematográficas S.A.,7.2,1875,0,,1407309,,103,4/12/1991,UNK
1987,Bagdad Cafe,PG,Comedy,Marianne Sägebrecht,Percy Adlon,Eleonore Adlon,West Germany,Pelemele Film,7.5,10255,0,,3587303,,95,4/22/1988,UNK
2008,Strange Wilderness,R,Adventure,Steve Zahn,Fred Wolf,Peter Gaulke,USA,Pelican Productions LLC (I),5.3,19380,20000000,,6563357,,100,2/1/2008,UNK
1992,Man Trouble,PG-13,Comedy,Jack Nicholson,Bob Rafelson,Carole Eastman,USA,Penta Entertainment,4.6,2557,30000000,,4096030,,100,7/17/1992,UNK
1992,Night and the City,R,Comedy,Robert De Niro,Irwin Winkler,Gerald Kersh,USA,Penta Films,5.8,3900,20000000,,6202756,,105,10/23/1992,UNK
1992,Folks!,PG-13,Comedy,Tom Selleck,Ted Kotcheff,Robert Klane,USA,Penta Pictures,5.5,2147,0,,6132924,,107,5/1/1992,UNK
1992,Love Potion No. 9,PG-13,Comedy,Tate Donovan,Dale Launer,Dale Launer,USA,Penta Pictures,5.6,11082,0,,754935,,92,11/13/1992,UNK
1987,Pelle the Conqueror,PG-13,Drama,Pelle Hvenegaard,Bille August,Martin Andersen Nexø,Denmark,Per Holst Filmproduktion,7.9,8321,0,,2053931,,157,12/21/1988,UNK
1994,The Browning Version,R,Drama,Albert Finney,Mike Figgis,Terence Rattigan,UK,Percy Main,7.3,2624,0,,464423,,97,10/12/1994,UNK
2016,Almost Christmas,PG-13,Comedy,Kimberly Elise,David E. Talbert,David E. Talbert,USA,Perfect World Pictures (Beijing),6,3366,17000000,,41715860,,111,11/11/2016,UNK
1996,Eddie,PG-13,Comedy,Whoopi Goldberg,Steve Rash,Steve Zacharias,USA,Permut Presentations,5.1,7525,30000000,,31356117,,100,5/31/1996,UNK
1993,Money for Nothing,R,Comedy,John Cusack,Ramón Menéndez,Mark Bowden,USA,Permut Presentations,5.7,3306,11000000,,1044824,,100,9/10/1993,UNK
2012,Struck by Lightning,NOT RATED,Comedy,Chris Colfer,Brian Dannelly,Chris Colfer,USA,Permut Presentations,6.3,13513,0,,22930,,90,1/11/2013,UNK
1994,Trapped in Paradise,PG-13,Adventure,Nicolas Cage,George Gallo,George Gallo,USA,Permut Presentations,5.9,10599,0,,5777916,,111,12/2/1994,UNK
1996,My Fellow Americans,PG-13,Adventure,Jack Lemmon,Peter Segal,E. Jack Kaplan,USA,Peters Entertainment,6.5,12809,21500000,,22294341,,101,12/20/1996,UNK
2016,Voraz,R,Drama,Garance Marillier,Julia Ducournau,Julia Ducournau,France,Petit Film,7,22618,0,,508425,,99,4/13/2017,UNK
1998,Apt Pupil,R,Crime,Ian McKellen,Bryan Singer,Stephen King,USA,Phoenix Pictures,6.7,30742,14000000,,8838938,,111,10/23/1998,UNK
2003,Básico y letal,R,Action,John Travolta,John McTiernan,James Vanderbilt,Germany,Phoenix Pictures,6.5,52747,50000000,,26536120,,98,3/28/2003,UNK
1997,Camino sin retorno,R,Crime,Sean Penn,Oliver Stone,John Ridley,France,Phoenix Pictures,6.8,44133,19000000,,6633400,,125,10/3/1997,UNK
2000,Leyenda urbana 2,R,Horror,Jennifer Morrison,John Ottman,Silvio Horta,USA,Phoenix Pictures,4.1,13751,14000000,,21468807,,97,9/22/2000,UNK
2006,Miss Potter,PG,Biography,Renée Zellweger,Chris Noonan,Richard Maltby Jr.,UK,Phoenix Pictures,7,25132,30000000,,2975649,,88,3/9/2007,UNK
2000,The 6th Day,PG-13,Action,Arnold Schwarzenegger,Roger Spottiswoode,Cormac Wibberley,USA,Phoenix Pictures,5.9,104775,82000000,,34604280,,123,11/17/2000,UNK
1998,Urban Legend,R,Horror,Jared Leto,Jamie Blanks,Silvio Horta,USA,Phoenix Pictures,5.5,50594,14000000,,38072438,,99,9/25/1998,UNK
2008,The Escapist,NOT RATED,Crime,Brian Cox,Rupert Wyatt,Daniel Hardy,UK,Picture Farm,6.8,15204,0,,13023,,102,6/20/2008,UNK
1998,The Acid House,UNRATED,Comedy,Stephen McCole,Paul McGuigan,Irvine Welsh,UK,Picture Palace North,6.3,6281,0,,142783,,111,8/17/2001,UNK
2008,Kit Kittredge: An American Girl,G,Drama,Abigail Breslin,Patricia Rozema,Ann Peacock,USA,Picturehouse,6.6,4988,10000000,,17655201,,101,7/2/2008,UNK
2008,The Women,PG-13,Comedy,Meg Ryan,Diane English,Diane English,USA,Picturehouse,4.9,17778,16500000,,26902075,,114,9/12/2008,UNK
2007,Teeth,R,Comedy,Jess Weixler,Mitchell Lichtenstein,Mitchell Lichtenstein,USA,Pierpoline Films,5.4,36169,0,,347578,,94,4/3/2008,UNK
1991,La bella latosa,UNRATED,Drama,Michel Piccoli,Jacques Rivette,Pascal Bonitzer,France,Pierre Grise Productions,7.8,5123,0,,408571,,238,9/4/1991,UNK
2016,Hunt for the Wilderpeople,PG-13,Adventure,Sam Neill,Taika Waititi,Taika Waititi,New Zealand,Piki Films,7.9,60530,0,,5202582,,101,3/31/2016,UNK
2002,Ju-on: The Grudge,R,Horror,Megumi Okina,Takashi Shimizu,Takashi Shimizu,Japan,Pioneer LDC,6.7,34319,3500000,,325661,,92,1/25/2003,UNK
2016,Finding Dory,PG,Animation,Ellen DeGeneres,Andrew Stanton,Andrew Stanton,USA,Pixar Animation Studios,7.4,173005,200000000,,486295561,,97,6/17/2016,UNK
2015,The Good Dinosaur,PG,Animation,Jeffrey Wright,Peter Sohn,Bob Peterson,USA,Pixar Animation Studios,6.7,80711,200000000,,123087120,,93,11/25/2015,UNK
2012,Killing Them Softly,R,Crime,Brad Pitt,Andrew Dominik,Andrew Dominik,USA,Plan B Entertainment,6.2,117806,15000000,,15026056,,97,11/30/2012,UNK
2006,Running with Scissors,R,Comedy,Joseph Cross,Ryan Murphy,Ryan Murphy,USA,Plan B Entertainment,6.2,20590,12000000,,6754898,,122,10/27/2006,UNK
2015,The Big Short,R,Biography,Christian Bale,Adam McKay,Charles Randolph,USA,Plan B Entertainment,7.8,260244,28000000,,70259870,,130,12/23/2015,UNK
1994,Leprechaun 2,R,Comedy,Warwick Davis,Rodman Flender,Mark Jones,USA,Planet Productions,4.4,6778,2000000,,2260622,,85,4/8/1994,UNK
1991,Samantha,PG,Comedy,Martha Plimpton,Stephen La Rocque,John Golden,USA,Planet Productions,6.5,330,0,,1076,,96,11/20/1992,UNK
1999,Play It to the Bone,R,Comedy,Woody Harrelson,Ron Shelton,Ron Shelton,USA,Play It Inc.,5.4,10533,24000000,,8427204,,124,1/21/2000,UNK
1995,Angels and Insects,R,Drama,Mark Rylance,Philip Haas,A.S. Byatt,UK,Playhouse International Pictures,7,4083,0,,5304000,,116,1/26/1996,UNK
1996,I Shot Andy Warhol,R,Biography,Lili Taylor,Mary Harron,Jeremiah Newton,UK,Playhouse International Pictures,6.6,5724,0,,1814290,,103,5/1/1996,UNK
2008,City of Ember,PG,Adventure,Saoirse Ronan,Gil Kenan,Caroline Thompson,USA,Playtone,6.5,56120,55000000,,7873007,,90,10/10/2008,UNK
1997,Plump Fiction,R,Comedy,Tommy Davidson,Bob Koherr,Bob Koherr,USA,Plump Fiction LLC,2.7,3363,0,,71145,,82,5/23/1997,UNK
2003,Open Water,R,Adventure,Blanchard Ryan,Chris Kentis,Chris Kentis,USA,Plunge Pictures LLC,5.7,44989,120000,,30610863,,79,8/20/2004,UNK
1998,Pecker,R,Comedy,Edward Furlong,John Waters,John Waters,USA,Polar Entertainment,6.4,12098,6000000,,2281761,,87,10/9/1998,UNK
2007,2 Days in Paris,R,Comedy,Julie Delpy,Julie Delpy,Julie Delpy,France,Polaris Film Production & Finance,6.8,27948,0,,4432981,,96,8/31/2007,UNK
1986,Police Academy 3: Back in Training,PG,Comedy,Steve Guttenberg,Jerry Paris,Neal Israel,USA,Police Academy Productions,5.2,35443,0,,43579163,,83,3/21/1986,UNK
1996,Barb Wire,R,Action,Pamela Anderson,David Hogan,Chris Warner,USA,PolyGram Filmed Entertainment,3.2,21707,0,,3794000,,98,5/3/1996,UNK
1998,Barney's Great Adventure,G,Adventure,George Hearn,Steve Gomer,Stephen White,Canada,PolyGram Filmed Entertainment,2.9,2827,15000000,,11144518,,76,4/3/1998,UNK
1992,Candyman,R,Horror,Virginia Madsen,Bernard Rose,Clive Barker,USA,PolyGram Filmed Entertainment,6.6,54076,6000000,,25792310,,99,10/16/1992,UNK
1995,Candyman: Farewell to the Flesh,R,Horror,Tony Todd,Bill Condon,Clive Barker,USA,PolyGram Filmed Entertainment,5.2,8119,0,,13940383,,93,3/17/1995,UNK
1995,Carrington,R,Biography,Emma Thompson,Christopher Hampton,Christopher Hampton,UK,PolyGram Filmed Entertainment,6.9,4621,0,,3242342,,121,11/10/1995,UNK
1993,Dream Lover,R,Drama,James Spader,Nicholas Kazan,Nicholas Kazan,USA,PolyGram Filmed Entertainment,6.2,3327,0,,256264,,103,5/6/1994,UNK
1991,Drop Dead Fred,PG-13,Comedy,Phoebe Cates,Ate de Jong,Elizabeth Livingston,USA,PolyGram Filmed Entertainment,5.8,23181,6788000,,43878334,,103,5/24/1991,UNK
1998,Elizabeth,R,Biography,Cate Blanchett,Shekhar Kapur,Michael Hirst,UK,PolyGram Filmed Entertainment,7.5,80195,30000000,,30082699,,124,2/19/1999,UNK
1996,Fargo,R,Crime,William H. Macy,Joel Coen,Ethan Coen,USA,PolyGram Filmed Entertainment,8.1,500735,7000000,,24611975,,98,4/5/1996,UNK
1995,French Kiss,PG-13,Comedy,Meg Ryan,Lawrence Kasdan,Adam Brooks,UK,PolyGram Filmed Entertainment,6.6,40933,0,,38896854,,111,5/5/1995,UNK
1998,I Want You,R,Crime,Rachel Weisz,Michael Winterbottom,Eoin McNamee,UK,PolyGram Filmed Entertainment,6.3,2483,0,,1242,,87,10/30/1998,UNK
1993,Kalifornia,R,Crime,Brad Pitt,Dominic Sena,Stephen Levy,USA,PolyGram Filmed Entertainment,6.7,44601,9000000,,2395231,,117,9/3/1993,UNK
1994,"Las aventuras de Priscilla, reina del desierto",R,Comedy,Hugo Weaving,Stephan Elliott,Stephan Elliott,Australia,PolyGram Filmed Entertainment,7.5,39500,0,,11220670,,104,8/10/1994,UNK
1995,Moonlight and Valentino,R,Comedy,Elizabeth Perkins,David Anspaugh,Ellen Simon,UK,PolyGram Filmed Entertainment,5.8,3086,0,,2488858,,105,9/29/1995,UNK
2000,Pitch Black,R,Horror,Radha Mitchell,David Twohy,Jim Wheat,USA,PolyGram Filmed Entertainment,7.1,203269,23000000,,39240659,,109,2/18/2000,UNK
1993,Posse,R,Western,Mario Van Peebles,Mario Van Peebles,Sy Richardson,UK,PolyGram Filmed Entertainment,5.5,3422,10000000,,18290000,,111,5/14/1993,UNK
1998,Return to Paradise,R,Drama,Vince Vaughn,Joseph Ruben,Pierre Jolivet,USA,PolyGram Filmed Entertainment,6.9,12128,0,,8288513,,111,8/14/1998,UNK
1993,Romeo Is Bleeding,R,Action,Gary Oldman,Peter Medak,Hilary Henkin,UK,PolyGram Filmed Entertainment,6.6,11408,11500000,,3275585,,100,2/4/1994,UNK
1994,S.F.W.,R,Comedy,Stephen Dorff,Jefery Levy,Andrew Wellman,USA,PolyGram Filmed Entertainment,5.9,4242,0,,63649,,96,1/20/1995,UNK
1998,The Big Lebowski,R,Comedy,Jeff Bridges,Joel Coen,Ethan Coen,USA,PolyGram Filmed Entertainment,8.2,592823,15000000,,17451873,,117,3/6/1998,UNK
1997,The Borrowers,PG,Adventure,John Goodman,Peter Hewitt,Mary Norton,UK,PolyGram Filmed Entertainment,5.8,17334,29000000,,22359293,,89,2/13/1998,UNK
1997,The Game,R,Drama,Michael Douglas,David Fincher,John Brancato,USA,PolyGram Filmed Entertainment,7.8,285147,50000000,,48323648,,129,9/12/1997,UNK
1994,The Hudsucker Proxy,PG,Comedy,Tim Robbins,Joel Coen,Ethan Coen,UK,PolyGram Filmed Entertainment,7.3,68649,30000000,,2869369,,111,3/11/1994,UNK
1996,The Portrait of a Lady,PG-13,Drama,Nicole Kidman,Jane Campion,Henry James,UK,PolyGram Filmed Entertainment,6.3,9274,0,,3692836,,144,1/17/1997,UNK
1995,The Usual Suspects,R,Crime,Kevin Spacey,Bryan Singer,Christopher McQuarrie,USA,PolyGram Filmed Entertainment,8.6,814470,6000000,,23341568,,106,9/15/1995,UNK
1998,Thursday,R,Action,Thomas Jane,Skip Woods,Skip Woods,USA,PolyGram Filmed Entertainment,7.2,14875,0,,3121,,83,9/25/1998,UNK
2000,Waking the Dead,R,Drama,Billy Crudup,Keith Gordon,Scott Spencer,USA,PolyGram Filmed Entertainment,6.7,6173,8500000,,327418,,105,3/24/2000,UNK
1998,What Dreams May Come,PG-13,Drama,Robin Williams,Vincent Ward,Richard Matheson,USA,PolyGram Filmed Entertainment,7,88728,85000000,,55485043,,113,10/2/1998,UNK
1990,Wild at Heart,R,Comedy,Nicolas Cage,David Lynch,Barry Gifford,USA,PolyGram Filmed Entertainment,7.2,67407,9500000,,14560247,,125,8/17/1990,UNK
1998,Your Friends & Neighbors,R,Comedy,Amy Brenneman,Neil LaBute,Neil LaBute,USA,PolyGram Filmed Entertainment,6.4,7208,5000000,,4710749,,100,8/21/1998,UNK
2008,Pontypool,NOT RATED,Fantasy,Stephen McHattie,Bruce McDonald,Tony Burgess,Canada,Ponty Up Pictures,6.7,24539,1500000,,3478,,93,9/18/2009,UNK
2015,Synchronicity,R,Drama,Chad McKnight,Jacob Gentry,Jacob Gentry,USA,POP Films,5.5,7562,0,,4267,,101,1/22/2016,UNK
2004,Miracle,PG,Biography,Kurt Russell,Gavin O'Connor,Eric Guggenheim,Canada,Pop Pop Productions,7.5,39178,28000000,,64378093,,135,2/6/2004,UNK
1996,Manny & Lo,R,Comedy,Scarlett Johansson,Lisa Krueger,Lisa Krueger,USA,Pope Productions,6.7,1549,500000,,502313,,88,7/26/1996,UNK
1995,The Underneath,R,Crime,Peter Gallagher,Steven Soderbergh,Don Tracy,USA,Populist Pictures,6.2,2718,6500000,,536023,,99,4/28/1995,UNK
2010,Animal Kingdom,R,Crime,James Frecheville,David Michôd,David Michôd,Australia,Porchlight Films,7.3,48461,0,,1044039,,113,6/3/2010,UNK
2011,The Hunter,R,Adventure,Willem Dafoe,Daniel Nettheim,Alice Addison,Australia,Porchlight Films,6.8,32746,0,,176432,,102,10/6/2011,UNK
2014,The Rover,R,Action,Guy Pearce,David Michôd,Joel Edgerton,Australia,Porchlight Films,6.4,36879,8500000,,1109199,,103,6/20/2014,UNK
2000,Saving Grace,R,Comedy,Brenda Blethyn,Nigel Cole,Mark Crowdy,UK,Portman Entertainment Group,6.9,16011,10000000,,12115757,,93,9/1/2000,UNK
1986,The Whistle Blower,PG,Thriller,Michael Caine,Simon Langton,Julian Bond,UK,Portreeve,6.2,1672,0,,1500000,,100,7/10/1987,UNK
2006,Poultrygeist: Night of the Chicken Dead,NOT RATED,Comedy,Jason Yachanin,Lloyd Kaufman,Gabriel Friedman,USA,Poultry Productions LLC,6.2,6500,500000,,23000,,103,7/6/2012,UNK
1989,Night Visitor,R,Horror,Derek Rydall,Rupert Hitzig,Randal Viscovich,USA,Premiere Pictures Corporation,4.5,383,0,,166635,,93,5/12/1989,UNK
2013,The Canyons,R,Drama,Lindsay Lohan,Paul Schrader,Bret Easton Ellis,USA,Prettybird,3.9,9126,250000,,49494,,99,8/2/2013,UNK
1988,The Bear,PG,Adventure,Tchéky Karyo,Jean-Jacques Annaud,James Oliver Curwood,France,Price,7.7,13980,0,,31753898,,96,10/27/1989,UNK
1993,A Bronx Tale,R,Crime,Robert De Niro,Robert De Niro,Chazz Palminteri,USA,Price Entertainment,7.8,106183,22000000,,17266971,,121,10/1/1993,UNK
